obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",31.4818992615,1,0,1041.12050374,29,29,2,3.14818992615,29,13,3746541028.61,3746541028.69,3660120065.23,44.52757,-125.38075,0.0,34.6446250655,29,29,internal_timestamp,2928.7199707,29,29,226557,1451131265,1.72850000858,29,29,3660120065.23
"('1',)",31.4720993042,1,0,1041.11279773,29,29,2,3.14720993042,29,13,3746541028.61,3746541028.69,3660120076.24,44.52757,-125.38075,0.0,34.6462701888,29,29,internal_timestamp,2926.29003906,29,29,239444,1451131276,1.71669995785,29,29,3660120076.24
"('2',)",31.470500946,1,0,1041.09955491,29,29,2,3.1470500946,29,13,3746541028.61,3746541028.69,3660120087.23,44.52757,-125.38075,0.0,34.6457495094,29,29,internal_timestamp,2923.38989258,29,29,229041,1451131287,1.71659994125,29,29,3660120087.23
"('3',)",31.4689998627,1,0,1041.08665896,29,29,2,3.14689998627,29,13,3746541028.61,3746541028.69,3660120098.23,44.52757,-125.38075,0.0,34.6456723732,29,29,internal_timestamp,2920.47998047,29,29,225590,1451131298,1.71619999409,29,29,3660120098.23
"('4',)",31.4673995972,1,0,1041.07321022,29,29,2,3.14673995972,29,13,3746541028.61,3746541028.69,3660120109.23,44.52757,-125.38075,0.0,34.6451728447,29,29,internal_timestamp,2917.5300293,29,29,232040,1451131309,1.71609997749,29,29,3660120109.23
"('5',)",31.4666996002,1,0,1041.06325357,29,29,2,3.14666996002,29,13,3746541028.61,3746541028.69,3660120120.23,44.52757,-125.38075,0.0,34.6453640609,29,29,internal_timestamp,2915.25,29,29,228884,1451131320,1.71609997749,29,29,3660120120.23
"('6',)",31.4664993286,1,0,1041.06302099,29,29,2,3.14664993286,29,13,3746541028.61,3746541028.69,3660120131.23,44.52757,-125.38075,0.0,34.6451226832,29,29,internal_timestamp,2915.23999023,29,29,226510,1451131331,1.71609997749,29,29,3660120131.23
"('7',)",31.4659004211,1,0,1041.05795217,29,29,2,3.14659004211,29,13,3746541028.61,3746541028.69,3660120142.23,44.52757,-125.38075,0.0,34.6453660647,29,29,internal_timestamp,2914.04003906,29,29,231760,1451131342,1.71570003033,29,29,3660120142.23
"('8',)",31.464799881,1,0,1041.04702607,29,29,2,3.1464799881,29,13,3746541028.61,3746541028.69,3660120153.23,44.52757,-125.38075,0.0,34.6456021888,29,29,internal_timestamp,2911.52001953,29,29,228312,1451131353,1.71529996395,29,29,3660120153.23
"('9',)",31.4631996155,1,0,1041.03425968,29,29,2,3.14631996155,29,13,3746541028.61,3746541028.69,3660120164.24,44.52757,-125.38075,0.0,34.6452610892,29,29,internal_timestamp,2908.68994141,29,29,237359,1451131364,1.71500003338,29,29,3660120164.24
"('10',)",31.4620990753,1,0,1041.02145018,29,29,2,3.14620990753,29,13,3746541028.61,3746541028.69,3660120175.27,44.52757,-125.38075,0.0,34.6453581046,29,29,internal_timestamp,2905.7800293,29,29,271362,1451131375,1.71490001678,29,29,3660120175.27
"('11',)",31.4606990814,1,0,1041.00850857,29,29,2,3.14606990814,29,13,3746541028.61,3746541028.69,3660120186.23,44.52757,-125.38075,0.0,34.6453051647,29,29,internal_timestamp,2902.86010742,29,29,231456,1451131386,1.714599967,29,29,3660120186.23
